shortnam,catho80,muslim80,lat_abst,no_cpm80,f_brit,f_french,avexpr,sjlofr,logpgp95,logem4,baseco
PRT,94.0999984741211,0.0,0.43666666746139526,4.800001621246338,0.0,0.0,9.181818008422852,1.0,9.489485740661621,NaN,NaN
PRY,96.0,0.0,0.25555557012557983,2.0999999046325684,0.0,0.0,6.954545497894287,1.0,8.20794677734375,4.357990264892578,1.0
QAT,1.2000000476837158,92.4000015258789,0.28111109137535095,5.499998569488525,1.0,0.0,7.7272725105285645,1.0,9.685331344604492,NaN,NaN
ROM,4.900000095367432,1.2000000476837158,0.5111111402511597,88.0999984741211,0.0,0.0,7.2727274894714355,0.0,8.3870849609375,NaN,NaN
RUS,1.399999976158142,11.300000190734863,0.6666666865348816,87.30000305175781,0.0,0.0,8.454545021057129,0.0,8.405143737792969,NaN,NaN
RWA,55.599998474121094,8.600000381469727,0.02222222276031971,24.200000762939453,0.0,0.0,NaN,1.0,6.476972579956055,5.63478946685791,NaN
SAU,0.10000000149011612,98.80000305175781,0.2777777910232544,0.9999969601631165,0.0,0.0,7.590909004211426,0.0,9.239899635314941,NaN,NaN
SDN,4.400000095367432,73.0,0.1666666716337204,22.5,1.0,0.0,4.0,0.0,7.3065314292907715,4.479607105255127,1.0
SEN,5.599999904632568,91.0,0.15555556118488312,3.3000001907348633,0.0,1.0,6.0,1.0,7.402451515197754,5.103882789611816,1.0
SGP,4.699999809265137,17.399999618530273,0.01355555560439825,75.30000305175781,1.0,0.0,9.318181991577148,0.0,10.14643383026123,2.8735647201538086,1.0
SLE,2.200000047683716,39.400001525878906,0.09222222119569778,53.599998474121094,1.0,0.0,5.818181991577148,0.0,6.253829002380371,6.18001651763916,1.0
SLV,96.19999694824219,0.0,0.15000000596046448,1.4000029563903809,0.0,0.0,5.0,1.0,7.948031902313232,4.357990264892578,1.0
SOM,0.0,99.80000305175781,0.1111111119389534,0.1999969482421875,1.0,0.0,3.0,0.0,NaN,NaN,NaN
STP,92.4000015258789,0.0,0.011111111380159855,5.399998664855957,0.0,0.0,8.409090995788574,1.0,NaN,NaN,NaN
SUR,36.0,13.0,0.04444444552063942,14.400001525878906,0.0,0.0,4.681818008422852,1.0,8.010000228881836,3.4713451862335205,NaN
SVK,74.0,0.0,0.5377777814865112,17.600000381469727,0.0,0.0,NaN,0.0,8.852235794067383,NaN,NaN
SVN,71.4000015258789,1.5,0.5111111402511597,27.099998474121094,0.0,0.0,NaN,0.0,9.30018138885498,NaN,NaN
SWE,1.399999976158142,0.10000000149011612,0.6888889074325562,30.099998474121094,0.0,0.0,9.5,0.0,9.866304397583008,NaN,NaN
SWZ,10.800000190734863,0.10000000149011612,0.29222220182418823,55.19999694824219,1.0,0.0,NaN,0.0,8.107720375061035,NaN,NaN
SYR,1.2999999523162842,89.5999984741211,0.3888888955116272,8.900001525878906,0.0,1.0,5.818181991577148,1.0,8.029433250427246,NaN,NaN
TCD,21.0,44.0,0.1666666716337204,23.399999618530273,0.0,1.0,NaN,1.0,6.835184574127197,5.63478946685791,NaN
TGO,29.299999237060547,17.0,0.08888889104127884,47.599998474121094,0.0,1.0,6.909090995788574,1.0,7.2225661277771,6.504288196563721,1.0
THA,0.4000000059604645,3.9000000953674316,0.1666666716337204,95.5,0.0,0.0,7.636363506317139,0.0,8.774930953979492,4.9416422843933105,NaN
TJK,0.0,85.0,0.4333333373069763,15.0,0.0,0.0,NaN,0.0,6.887552738189697,NaN,NaN
TKM,0.0,87.0,0.4444444477558136,13.0,0.0,0.0,NaN,0.0,7.64012336730957,NaN,NaN
TTO,35.79999923706055,6.5,0.12222222238779068,44.5,1.0,0.0,7.454545497894287,0.0,8.768730163574219,4.442651271820068,1.0
TUN,0.10000000149011612,99.4000015258789,0.3777777850627899,0.4999984800815582,0.0,1.0,6.454545497894287,1.0,8.4826021194458,4.143134593963623,1.0
TUR,0.10000000149011612,99.19999694824219,0.4333333373069763,0.7000030279159546,0.0,0.0,7.454545497894287,1.0,8.641179084777832,NaN,NaN
TWN,NaN,NaN,NaN,NaN,NaN,NaN,9.227272987365723,NaN,NaN,NaN,NaN
TZA,28.200000762939453,32.5,0.06666667014360428,28.099998474121094,0.0,0.0,6.636363506317139,0.0,6.253829002380371,5.63478946685791,1.0
UGA,49.599998474121094,6.599999904632568,0.011111111380159855,41.900001525878906,1.0,0.0,4.454545497894287,0.0,6.966024398803711,5.63478946685791,1.0
UKR,0.0,0.0,0.5444444417953491,100.0,0.0,0.0,NaN,0.0,7.811973571777344,NaN,NaN
URY,59.5,0.0,0.36666667461395264,38.599998474121094,0.0,0.0,7.0,1.0,9.031213760375977,4.2626800537109375,1.0
USA,30.0,0.800000011920929,0.42222222685813904,25.60000228881836,1.0,0.0,10.0,0.0,10.215740203857422,2.70805025100708,1.0
UZB,0.0,88.0,0.4555555582046509,12.0,0.0,0.0,NaN,0.0,7.807916641235352,NaN,NaN
VEN,94.80000305175781,0.0,0.08888889104127884,4.1999969482421875,0.0,0.0,7.136363506317139,1.0,9.071078300476074,4.357990264892578,1.0
VNM,3.9000000953674316,1.0,0.17777778208255768,94.9000015258789,0.0,1.0,6.409090995788574,1.0,7.279318809509277,4.9416422843933105,1.0
YEM,0.0,99.5,0.1666666716337204,0.4000000059604645,0.0,0.0,6.363636493682861,1.0,6.646390438079834,NaN,NaN
YUG,4.0,19.0,0.4888888895511627,76.0,0.0,0.0,6.318181991577148,0.0,NaN,NaN,NaN
ZAF,10.399999618530273,1.2999999523162842,0.3222222328186035,49.29999923706055,1.0,0.0,6.863636493682861,0.0,8.885993957519531,2.740839958190918,1.0
ZAR,48.400001525878906,1.399999976158142,0.0,21.19999885559082,0.0,0.0,3.5,1.0,6.866933345794678,5.4806389808654785,1.0
ZMB,26.200000762939453,0.30000001192092896,0.1666666716337204,41.599998474121094,1.0,0.0,6.636363506317139,0.0,6.8134446144104,NaN,NaN
ZWE,14.399999618530273,0.8999999761581421,0.2222222238779068,63.29999923706055,1.0,0.0,6.0,0.0,7.6962127685546875,NaN,NaN
